,Timestamp,Source IP,Destination IP,Protocol,Payload
100,22:54:40,20.190.146.33,192.168.0.101,TCP,f3778b3f88379a12643fd56dd1950f94c77a83da90aa1b0d4d4fdb44e44609a411353823ae629b76a724d69e0211e22d9ae4db2508a44abd390bf7ecdfeab7a8856cc6d4b530388dd0066fdcf5ec2e54e28e854ae74a9ace87c13aa0973d9cbb87cc40da
101,22:54:40,20.190.146.33,192.168.0.101,TCP,c99bed7d82bc89c1679aad779b95aa254dc1da7cb48e62f4b716026d5809cfc7c1eff293e3c4a64359e672ef943339899e932307d352cf48d0d69536753105910f6fdaaa0384de35a72dde7cbd3d9b67f2b49eab02cf2e13c3f3005b1db0ff8fc1d0fae4
102,22:54:40,20.190.146.33,192.168.0.101,TCP,5678fcec9387df701531ac33d2cfb79aa07276a011f287f514af49db503d4dd45dbc21c149d3eb439b32ffa0f39075ab0fb7a7f6bacb8f9b35b35ee683cc197b28d05c587fa310c4b13e496e0113bf922267173ba9dbdd1e1e86facb21fe41c145a77bd6
103,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
104,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
105,22:54:40,192.168.0.101,192.168.0.1,UDP,<no payload>
106,22:54:40,192.168.0.1,192.168.0.101,UDP,<no payload>
107,22:54:40,192.168.0.101,13.107.246.48,TCP,<no payload>
108,22:54:40,13.107.246.48,192.168.0.101,TCP,<no payload>
109,22:54:40,192.168.0.101,13.107.246.48,TCP,<no payload>
110,22:54:40,192.168.0.101,13.107.246.48,TCP,16030101d5010001d103030a98fc75cd37a9bf6765e99242a9e01a1328552d5b15529cda05f85689d5d93d2029affb58689acf2e31433992075ab08f1508bd1768de612a759ff61b2c64850d002813021301c02cc02bc030c02fc024c023c028c027c00a
111,22:54:40,13.107.246.48,192.168.0.101,TCP,<no payload>
112,22:54:40,13.107.246.48,192.168.0.101,TCP,160303009b0200009703034c5c6a2f12042f4de89974d887ebfcbc50ae67440b51511078db96c316ba41b42029affb58689acf2e31433992075ab08f1508bd1768de612a759ff61b2c64850d130200004f002b0002030400330045001700410415caf68e
113,22:54:40,13.107.246.48,192.168.0.101,TCP,eff673df3e7517a508e0bcfcbb8a5cec430c73cbe3ef39aba2d4909c6d213699145887d82d4a08086d59f6f5e9a3248d9ab8ab4b69dfae8ea27f574542a52430817062144251961e97c800df3bc092d772486583ae3f6b40c9a1c1c6d7e9a380f41a797c
114,22:54:40,13.107.246.48,192.168.0.101,TCP,3021f3596d4d88a6ebf46ad7a3378104622557f62d4fa2451a4cdada41f5810b1c3542910ded2ce1a97c412ab8bb508273285eaf66be475d1ef888939c9788cb1fb2b97dd161022238475203c36439ceeeac0cf539528f5794d4093883b17af61d9bf0c2
115,22:54:40,192.168.0.101,13.107.246.48,TCP,<no payload>
